epoch,accuracy,dice_coef,loss,precision,sensitivity,specificity
0,0.6623264,0.6455404,2.104360113541285,0.63929677,0.63929677,0.6862096
1,0.82712764,0.8152324,0.8959726171290621,0.80957913,0.80957913,0.83775467
2,0.88386524,0.87807536,0.5620849812073065,0.87715524,0.87715524,0.89884907
3,0.9148936,0.91023296,0.3948333526479331,0.9173173,0.9173173,0.9133696
4,0.9388298,0.93679017,0.2562083278244245,0.93744725,0.93744725,0.9427196
5,0.95035464,0.9478885,0.1961600235979678,0.94901824,0.94901824,0.95591235
6,0.95212764,0.94746166,0.18896183352058765,0.9448054,0.9448054,0.9509265
7,0.964539,0.9617913,0.11844290768131548,0.96052617,0.96052617,0.9665826
8,0.9680851,0.966685,0.12816228670808477,0.9677499,0.9677499,0.9683906
9,0.9680851,0.968459,0.1388780242827034,0.970521,0.970521,0.96689403
10,0.9751773,0.97300816,0.07712404591196294,0.9752335,0.9752335,0.9747467
11,0.97606385,0.9700813,0.12224697610354075,0.9769269,0.9769269,0.97647977
12,0.9796099,0.9797174,0.06942901622344234,0.98249984,0.98249984,0.9788223
13,0.98138297,0.9751963,0.08369606841728752,0.97670674,0.97670674,0.98097146
14,0.98670214,0.9867259,0.03532992274850224,0.99058175,0.99058175,0.98247784
15,0.9884752,0.98580974,0.042744854977545016,0.9839709,0.9839709,0.9930943
16,0.9858156,0.9817784,0.048423253106212795,0.9903717,0.9903717,0.9832723
17,0.9893617,0.9862664,0.042391571868328426,0.9892792,0.9892792,0.9902543
18,0.9937943,0.9926112,0.02393508647647579,0.99260455,0.99260455,0.99467593
19,0.9849291,0.9803882,0.07160536380133264,0.98573726,0.98573726,0.98241264
20,0.9884752,0.98691326,0.05855401994456831,0.9905593,0.9905593,0.9878002
21,0.9893617,0.9879668,0.04631576187483084,0.9929439,0.9929439,0.9861717
22,0.98758864,0.98619586,0.035919612168369204,0.9896581,0.9896581,0.9852458
