epoch,accuracy,dice_coef,loss,precision,sensitivity,specificity
0,0.6154514,0.5965688,2.182970975836118,0.58450776,0.58450776,0.64800256
1,0.8430851,0.83264464,0.7867767141854509,0.8270806,0.8270806,0.85648537
2,0.8847518,0.86657745,0.536219743232355,0.86066014,0.86066014,0.8972097
3,0.9069149,0.9015858,0.46320590577649734,0.89474463,0.89474463,0.92318165
4,0.93528366,0.92949986,0.32206296386421945,0.9428076,0.9428076,0.929796
5,0.9494681,0.93984836,0.2090813960832154,0.939968,0.939968,0.9541472
6,0.9636525,0.96108055,0.15407916767089644,0.96130383,0.96130383,0.96716034
7,0.96276593,0.9586123,0.13111810802221166,0.9574013,0.9574013,0.96843094
8,0.9725177,0.9658091,0.1078310663257032,0.9747064,0.9747064,0.9716857
9,0.9751773,0.97260296,0.09318689895870601,0.9742334,0.9742334,0.97767395
